;NomVille;MAJ   ; Code Postal ; Code INSEE ;Code Région; Latitude ; Longitude ; Eloignement 
296;Chevillard;CHEVILLARD   ;1430;1101;82;46.116667;5.583333;1.08
297;Viriat;VIRIAT   ;1440;1451;82;46.25;5.216667;1.01
298;Poncin;PONCIN   ;1450;1303;82;46.083333;5.4;1.51
299;Mérignat;MERIGNAT   ;1450;1242;82;46.066667;5.433333;1.31
300;Saint-Alban;SAINT ALBAN  ;1450;1331;82;46.1;5.45;0.48
301;Serrières-sur-Ain;SERRIERES SUR AIN ;1450;1404;82;46.15;5.45;0.68
302;Cerdon;CERDON   ;1450;1068;82;46.083333;5.466667;0.87
303;Challes;CHALLES   ;1450;1077;82;46.133333;5.466667;0.42
304;Leyssard;LEYSSARD   ;1450;1214;82;46.166667;5.466667;1.08
305;Bolozon;BOLOZON   ;1450;1051;82;46.2;5.483333;1.91
306;Labalme;LABALME   ;1450;1200;82;46.1;5.483333;0.78
307;Volognat;VOLOGNAT   ;1460;1455;82;46.183333;5.516667;1.45
308;Géovreissiat;GEOVREISSIAT   ;1460;1170;82;46.2;5.566667;0.76
309;Port;PORT   ;1460;1307;82;46.166667;5.566667;0.76
310;Nantua;NANTUA   ;1460;1269;82;46.15;5.616667;1.6
311;Briord;BRIORD   ;1470;1064;82;45.783333;5.466667;1.81
312;Montagnieu;MONTAGNIEU   ;1470;1255;82;45.8;5.466667;1.71
313;Bénonces;BENONCES   ;1470;1037;82;45.833333;5.483333;1.7
314;Seillonnaz;SEILLONNAZ   ;1470;1400;82;45.8;5.483333;1.71
315;Jassans-Riottier;JASSANS RIOTTIER  ;1480;1194;82;45.983333;4.75;2.03
316;Fareins;FAREINS   ;1480;1157;82;46.016667;4.766667;1.97
317;Frans;FRANS   ;1480;1166;82;45.983333;4.783333;1.91
318;Chaleins;CHALEINS   ;1480;1075;82;46.033333;4.8;1.85
319;Ars-sur-Formans;ARS SUR FORMANS ;1480;1021;82;45.983333;4.816667;1.8
320;Savigneux;   ;1480;1398;82;46.0;4.85;2.19
321;Saint-Maurice-de-Rémens;SAINT MAURICE DE REMENS;1500;1379;82;45.95;5.283333;1.6
322;Château-Gaillard;CHATEAU GAILLARD  ;1500;1089;82;45.966667;5.3;1.1
